PROCEDIMENTO;HOSPITAL ACCURATA;
   + Pré-Axilas, Face Interna das Coxas e Braços;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;6.000,00;7.000,00
   + Pré-Axilas, Culotes e Braços;6.000,00;6.900,00
   + Pré-Axilas, Culotes e Submento;6.000,00;6.900,00
   + Pré-Axilas, Culotes, Braços e Submento;6.000,00;6.900,00
   + Pré-Axilas, Braços e Submento;6.000,00;6.900,00
   + Face Interna das Coxas e Culotes;6.000,00;6.900,00
   + Face Interna das Coxas e Braços;6.000,00;6.900,00
   + Face Interna das Coxas e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes e Braços;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Braços e Submento;6.000,00;6.900,00
   + Face Interna das Coxas, Culotes, Braços e Submento;6.000,00;7.000,00
   + Culotes e Braços;6.000,00;6.900,00
   + Culotes e Submento;6.000,00;6.900,00
   + Culotes, Braços e Submento;6.000,00;6.900,00
   + Braços e Submento;6.000,00;6.900,00
Abdominoplastia;5.000,00;5.500,00
Abdominoplastia e Lipoaspiração de Abdome e Flancos;5.500,00;6.000,00
   + Pré-Axilas;5.500,00;6.000,00
   + Face Interna das Coxas;5.500,00;6.100,00
   + Culotes;5.500,00;6.100,00
   + Braços;5.800,00;6.200,00
   + Submento;5.500,00;6.100,00
   + Pré-Axilas e Face Interna das Coxas;5.500,00;6.100,00
   + Pré-Axilas e Culotes;5.500,00;6.100,00
   + Pré-Axilas e Braços;5.800,00;6.200,00
   + Pré-Axilas e Submento;5.500,00;6.100,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;5.700,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas e Braços;5.800,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas e Submento;5.700,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;5.800,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;5.700,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;5.800,00;6.200,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;5.800,00;6.200,00
   + Pré-Axilas, Culotes e Braços;5.800,00;6.200,00
   + Pré-Axilas, Culotes e Submento;5.700,00;6.200,00
   + Pré-Axilas, Culotes, Braços e Submento;5.800,00;6.200,00
   + Pré-Axilas, Braços e Submento;5.800,00;6.200,00
   + Face Interna das Coxas e Culotes;5.700,00;6.200,00
   + Face Interna das Coxas e Braços;5.700,00;6.200,00
   + Face Interna das Coxas e Submento;5.700,00;6.200,00
   + Face Interna das Coxas, Culotes e Braços;5.700,00;6.200,00
   + Face Interna das Coxas, Culotes e Submento;5.700,00;6.200,00
   + Face Interna das Coxas, Braços e Submento;5.800,00;6.200,00
   + Face Interna das Coxas, Culotes, Braços e Submento;5.800,00;6.200,00
   + Culotes e Braços;5.800,00;6.200,00
   + Culotes e Submento;5.700,00;6.200,00
   + Culotes, Braços e Submento;5.800,00;6.200,00
   + Braços e Submento;5.800,00;6.200,00
Abdominoplastia e Lipoaspiração de Abdome, Flancos e Dorso;6.000,00;6.500,00
   + Pré-Axilas;6.000,00;6.500,00
   + Face Interna das Coxas;6.000,00;6.700,00
   + Culotes;6.000,00;6.700,00
   + Braços;6.000,00;6.700,00
   + Submento;6.000,00;6.700,00
   + Pré-Axilas e Face Interna das Coxas;6.000,00;6.800,00
   + Pré-Axilas e Culotes;6.000,00;6.800,00
   + Pré-Axilas e Braços;6.000,00;6.800,00
   + Pré-Axilas e Submento;6.000,00;6.800,00
   + Pré-Axilas, Face Interna das Coxas e Culotes;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas e Braços;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Braços;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Braços e Submento;6.000,00;6.900,00
   + Pré-Axilas, Face Interna das Coxas, Culotes, Braços e Submento;6.000,00;7.000,00
   + Pré-Axilas, Culotes e Braços;6.000,00;6.900,00
   + Pré-Axilas, Culotes e Submento;6.000,00;6.900,00
   + Pré-Axilas, Culotes, Braços e Submento;6.000,00;6.900,00
   + Pré-Axilas, Braços e Submento;6.000,00;6.900,00
